"rid","q2_type","q2_type_id","q5_satisfaction","q6_problems","q6_problems_id","q7_privacy","q7_human_support","q7_accessibility","q7_connection","q7_governance","q7_cost","q7_adaptability","q7_reliability","q9_familiarity","q9_familiarity_id","q10_importance","q10_importance_id","q11_trust","q11_trust_id","q12_adoption","q12_adoption_id","q13_model_matters","q13_model_matters_id","q15_trustworthy","q16_interest","q16_interest_id","q18_coop_fit","q18_coop_fit_id","q19_coop_relationship","q19_coop_relationship_id","q20_coop_trust","q22_nonprofit_burdens","q23_nonprofit_attractive","q23_nonprofit_attractive_id","q24_nonprofit_conditions","q26_community_difficulties","q27_community_role","q27_community_role_id","q29_union_needs","q30_union_appeal","q30_union_appeal_id","q31_union_governance","q33_muni_requirements","q34_muni_perception","q34_muni_perception_id","q36_activist_risks","q37_activist_trust","q37_activist_trust_id","q38_activist_conditions","q40_relationship","q40_relationship_id","q41_involvement","q41_involvement_id","q42_trust_conditions","q42_trust_conditions_id","q43_first_year","q43_first_year_id","q45_optional","q45_optional_id","q46_comments","q47_followup","q47_followup_id","q48_updates","q48_updates_id","q50_barriers","q50_barriers_id","q51_support","q51_support_id","q52_price_sensitivity","q52_price_sensitivity_id","q54_contribution_type","q54_contribution_type_id","q55_individual_amount","q55_individual_amount_id","q56_worthwhile","q58_org_pricing_model","q58_org_pricing_model_id","q59_org_willingness","q59_org_willingness_id","q60_org_cost","q60_org_cost_id","q61_org_cost_justified","q63_consent","q9_familiarity_id_ord","q10_importance_id_ord","q11_trust_id_ord","q12_adoption_id_ord"
"R011","Non-profit","non_profit","3.0","Too much dependence on large corporate platforms; Too many separate tools to manage; Poor privacy or data protection","corporate_dependence, too_many_tools, poor_privacy","5.0","4.0","5.0","3.0","3.0","5.0","5.0","5.0","Not familiar","not_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Somewhat more likely","somewhat_more_likely","Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit; More trust in how decisions are made","privacy, influence, less_profit_pressure, long_term_benefit, decision_trust","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","4.0","4.0","3.0"
"R012","Non-profit","non_profit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R013","I am answering as a member of the general public","general_public","3.0","Weak support when something goes wrong; Addictive nature ","weak_support, other, other","5.0","4.0","3.0","5.0","2.0","3.0","3.0","3.0","Not familiar","not_familiar","Not sure","not_sure","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Lower risk of profit-driven decisions","less_profit_pressure","Transparency in decision making and ownership structure ","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Prefer to use it without governance involvement","prefer_to_use_only","Strong privacy and data protection","strong_privacy","None of these yet","none_yet","Yes","yes","It would be great to have examples of what you’re envisioning a bit more so it doesn’t all sound too conceptual ","No","no","No","no","Cost or affordability; Time required to learn or onboard; Privacy, security, or data control concerns","cost_affordability, time_to_learn, privacy_security","Easy onboarding or setup help; Affordable hosting or infrastructure support","onboarding_help, hosting_support","Very sensitive — it would need to be free or very low cost","very_sensitive","Not sure","not_sure","I would only use it if it stayed free","free_only","","","","","","","","","","1.0","2.0","3.0","3.0"
"R014","Non-profit","non_profit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R016","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R017","I am answering as a member of the general public","general_public","5.0","Too expensive","too_expensive","5.0","5.0","5.0","4.0","5.0","5.0","4.0","5.0","Not familiar","not_familiar","Somewhat important","somewhat_important","Much more likely","much_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made","decision_trust","Proximity ","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","Occasional input on priorities","occasional_input","Strong privacy and data protection; Reliable support and maintenance; Clear accountability if something goes wrong","strong_privacy, reliable_support, clear_accountability","Join a pilot; Refer others","join_pilot, refer_others","No","no","No","No","no","No","no","","","","","","","","","","","","","","","","","","","","1.0","2.0","4.0","3.0"
"R018","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R019","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R020","I am answering as a member of the general public","general_public","4.0","Too much dependence on large corporate platforms; Too many separate tools to manage; Hard to govern or manage collectively","corporate_dependence, too_many_tools, hard_to_govern","5.0","3.0","3.0","2.0","2.0","4.0","4.0","5.0","Not familiar","not_familiar","Somewhat important","somewhat_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","influence, less_profit_pressure, long_term_benefit","Open Source the code, Permissive Liscencing","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","Consultation as a user","consulted_as_user","Strong privacy and data protection; Reliable support and maintenance; Real examples or pilot partners; Clear accountability if something goes wrong","strong_privacy, reliable_support, real_examples, clear_accountability","Join a pilot","join_pilot","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","1.0","2.0","3.0","3.0"
"R021","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R022","I am answering as a member of the general public","general_public","3.0","Weak support when something goes wrong","weak_support","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Heard of it, but not clearly","heard_of_it","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Stronger long-term community benefit","long_term_benefit","If more locals were involved it the management ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","Prefer to use it without governance involvement","prefer_to_use_only","Long-term sustainability plan","sustainability_plan","Give regular feedback","give_feedback","No","no","I don’t know enough it yet ","Yes","yes","Yes","yes","","","","","","","","","","","","","","","","","","","accepted","2.0","4.0","4.0","4.0"
"R023","I am answering as a member of the general public","general_public","1.0","Too much dependence on large corporate platforms; Weak support when something goes wrong; The constant intentional enshitification by greedy corporations ","corporate_dependence, weak_support, other, other","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Very familiar","very_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","decision_trust, values_alignment, accountability, privacy, influence, less_profit_pressure, long_term_benefit","Putting people before profit no matter what.","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Contributor to design and priorities","design_contributor","Consultation as a user","consulted_as_user","Transparent finances; Strong privacy and data protection; Clear accountability if something goes wrong","transparent_finances, strong_privacy, clear_accountability","Join a pilot; Participate in governance or voting; Contribute time or expertise","join_pilot, governance, contribute_time","Yes","yes","We should be working on building local movements to help build community once more. Social media should be used to bring people together not drive them apart.","Yes","yes","No","no","Cost or affordability; Privacy, security, or data control concerns; Uncertainty about governance or decision-making","cost_affordability, privacy_security, governance_uncertainty","Clear documentation and self-serve guides; Affordable hosting or infrastructure support; Peer learning with other organizations or community members; A clear governance and accountability model","documentation, hosting_support, peer_learning, governance_model","Very sensitive — it would need to be free or very low cost","very_sensitive","I would only use it if it were free","free_only","I would only use it if it stayed free","free_only","Enough to cover the costs of running it that's it.","","","","","","","","","5.0","4.0","4.0","4.0"
"R024","I am answering as a member of the general public","general_public","2.0","Too expensive; Poor privacy or data protection; Too much dependence on large corporate platforms","too_expensive, poor_privacy, corporate_dependence","4.0","4.0","4.0","5.0","3.0","3.0","5.0","4.0","Somewhat familiar","somewhat_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","decision_trust, values_alignment, accountability, privacy, influence, less_profit_pressure, long_term_benefit","Transparency in management, good data protection","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Consultation as a user","consulted_as_user","Transparent finances; Strong privacy and data protection","transparent_finances, strong_privacy","Join a pilot; Pay for use; Refer others","join_pilot, pay_for_use, refer_others","Yes","yes","","Yes","yes","Yes","yes","Time required to learn or onboard; Other people not using it","time_to_learn, other, other","Help migrating from current tools","migration_help","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","Annual membership or supporter contribution","annual_supporter","$5 to $10 per month or about $50 to $120 per year","5_to_10_month","","","","","","","","","accepted","3.0","4.0","4.0","4.0"
"R025","I am answering as a member of the general public","general_public","3.0","Too expensive; Poor privacy or data protection; Too much dependence on large corporate platforms","too_expensive, poor_privacy, corporate_dependence","5.0","5.0","4.0","5.0","3.0","3.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Somewhat important","somewhat_important","No difference","no_difference","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","decision_trust, values_alignment, accountability, privacy, influence, less_profit_pressure, long_term_benefit","Transparency and openness about operations and stakeholders","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Not sure yet","not_sure_yet","Clear governance structure; Transparent finances; Strong privacy and data protection; Reliable support and maintenance; Real examples or pilot partners; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Long-term sustainability plan","clear_governance, transparent_finances, strong_privacy, reliable_support, real_examples, clear_accountability, community_power, sustainability_plan","Join a pilot; Give regular feedback; Participate in governance or voting; Refer others; Contribute time or expertise; Wait and see","join_pilot, give_feedback, governance, refer_others, contribute_time, wait_and_see","Yes","yes","Nothing immediately ","Yes","yes","Yes","yes","Cost or affordability; Time required to learn or onboard; Difficulty moving from existing tools; Lack of integrations with other tools; Privacy, security, or data control concerns","cost_affordability, time_to_learn, migration_difficulty, integration_gaps, privacy_security","Training or mentorship; Easy onboarding or setup help; Clear documentation and self-serve guides; Affordable hosting or infrastructure support; Funding, subsidies, or sponsorship; Peer learning with other organizations or community members; A clear governance and accountability model","training, onboarding_help, documentation, hosting_support, funding_subsidies, peer_learning, governance_model","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","Not sure","not_sure","Not sure","not_sure","I'd need to have a more clear idea about what's being provided ","","","","","","","","accepted","3.0","2.0","2.0","3.0"
"R026","I am answering as a member of the general public","general_public","4.0","Too expensive; Too much dependence on large corporate platforms","too_expensive, corporate_dependence","4.0","3.0","5.0","4.0","5.0","4.0","2.0","3.0","Very familiar","very_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More influence over future development; Lower risk of profit-driven decisions","decision_trust, values_alignment, influence, less_profit_pressure","Open source infrastructure. Ability to audit. Permissionless and trust less ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","Consultation as a user","consulted_as_user","Transparent finances","transparent_finances","Refer others; Give regular feedback; Contribute time or expertise","refer_others, give_feedback, contribute_time","Yes","yes","This sounds a lot like what Ethereum has to offer. ","Yes","yes","Yes","yes","","","Clear documentation and self-serve guides; Affordable hosting or infrastructure support; Help migrating from current tools","documentation, hosting_support, migration_help","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","Annual membership or supporter contribution","annual_supporter","Not sure","not_sure","I think I would need to know what it was first. ","","","","","","","","accepted","5.0","4.0","4.0","3.0"
"R027","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R028","I am answering as a member of the general public","general_public","3.0","Too many separate tools to manage; Not well suited to our community or work; Hard to govern or manage collectively","too_many_tools, not_suited, hard_to_govern","4.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","Heard of it, but not clearly","heard_of_it","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; Stronger long-term community benefit","decision_trust, values_alignment, long_term_benefit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","4.0","4.0","4.0"
"R029","Other / not specified","other_organisation","1.0","Hard to use; Too much dependence on large corporate platforms; Too many separate tools to manage","hard_to_use, corporate_dependence, too_many_tools","4.0","4.0","5.0","5.0","3.0","5.0","4.0","5.0","Somewhat familiar","somewhat_familiar","Somewhat important","somewhat_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Stronger long-term community benefit; More trust in how decisions are made","long_term_benefit, decision_trust","","","","","","","","","","","","","","Mainly use it","mainly_use","","","","","","","","","","","","Not sure yet","not_sure_yet","Occasional input on priorities","occasional_input","Long-term sustainability plan","sustainability_plan","Give regular feedback","give_feedback","No","no","","Yes","yes","Yes","yes","","","","","","","","","","","","","","","","","","","accepted","3.0","2.0","3.0","3.0"
"R030","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R031","I am answering as a member of the general public","general_public","5.0","Hard to use","hard_to_use","5.0","","5.0","5.0","5.0","5.0","5.0","5.0","Heard of it, but not clearly","heard_of_it","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","decision_trust, values_alignment, accountability, privacy, influence, less_profit_pressure, long_term_benefit","Don’t know how to answer this ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Not sure yet","not_sure_yet","Long-term sustainability plan","sustainability_plan","Give regular feedback","give_feedback","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","2.0","4.0","4.0","4.0"
"R032","I am answering as a member of the general public","general_public","1.0","Poor privacy or data protection; Too much dependence on large corporate platforms; Not well suited to our community or work","poor_privacy, corporate_dependence, not_suited","5.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship; Lower risk of profit-driven decisions","decision_trust, values_alignment, accountability, privacy, less_profit_pressure","Transparency ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","A meaningful voice in governance and direction","meaningful_voice","Transparent finances; Clear governance structure; Strong privacy and data protection; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Reliable support and maintenance; Long-term sustainability plan","transparent_finances, clear_governance, strong_privacy, clear_accountability, community_power, reliable_support, sustainability_plan","Refer others; Contribute time or expertise; Join a pilot; Give regular feedback","refer_others, contribute_time, join_pilot, give_feedback","No","no","I'd need more context first","Yes","yes","Yes","yes","","","","","","","","","","","","","","","","","","","","3.0","4.0","4.0","4.0"
